Année,Pays,Code Pays,"Espérance de vie à la naissance, hommes (années)",Dépenses publiques générales de santé (% des dépenses courantes de santé)
2018,Brésil,BRA,72.365,41.09182358
2018,Canada,CAN,79.76,69.66168976
2018,Chine,CHN,75.034,56.41641998
2018,Chili,CHL,78.323,51.24023056
2018,Corée du Sud,KOR,79.7,57.17775345
2018,Côte d'Ivoire,CIV,58.063,29.06596375
2018,Espagne,ESP,80.7,70.22999573
2018,France,FRA,79.7,75.53427124
2018,Inde,IND,68.973,34.29247284
2018,Indonésie,IDN,68.062,48.67710495
2018,Iran,IRN,74.738,44.42048645
2018,Japon,JPN,81.25,83.77095032
2018,Maroc,MAR,72.036,40.19128036
2018,Mexique,MEX,71.422,49.62833023
2018,Nigeria,NGA,52.415,16.09827423
2018,Pérou,PER,73.89,62.03506088
2018,Royaume-Uni,GBR,79.5,79.92076111
2018,Russie,RUS,67.75,59.45658112
2018,Sénégal,SEN,65.59,25.24784088
2018,Suède,SWE,80.9,84.78461456
2018,Suisse,CHE,81.9,33.51978683
2018,Togo,TGO,60.4,16.74621964
2018,Turquie,TUR,74.385,77.38227081
2018,États-Unis,USA,76.2,51.49744415
2019,Afrique du Sud,ZAF,62.696,58.20709991
2019,Allemagne,DEU,79,77.19599915
2019,Brésil,BRA,72.653,40.74077988
2019,Canada,CAN,80.11,69.50235748
2019,Chine,CHN,75.303,55.97903824
2019,Chili,CHL,78.098,51.2644577
2019,Corée du Sud,KOR,80.3,57.82999802
2019,Côte d'Ivoire,CIV,58.493,30.20500565
2019,Espagne,ESP,81.1,70.51312256
2019,France,FRA,79.9,74.91199493
2019,Inde,IND,69.312,35.0661087
2019,Indonésie,IDN,68.325,48.56188965
2019,Iran,IRN,74.987,44.46880341
2019,Japon,JPN,81.41,83.96395111
2019,Maroc,MAR,72.253,40.50637817
2019,Mexique,MEX,71.587,49.16729355
2019,Nigeria,NGA,52.769,15.73634243
2019,Pérou,PER,74.106,63.24930573
2019,Royaume-Uni,GBR,79.554,79.94097137
2019,Russie,RUS,68.24,61.1519165
2019,Sénégal,SEN,65.859,23.52870941
2019,Suède,SWE,81.5,85.12414551
2019,Suisse,CHE,82.1,33.5100174
2019,Togo,TGO,60.887,15.077075
2019,Turquie,TUR,74.678,77.68532562
2019,États-Unis,USA,76.3,51.86899948
2020,Afrique du Sud,ZAF,62.174,64.78907776
2020,Allemagne,DEU,78.7,78.70727539
2020,Brésil,BRA,71.537,43.35228729
2020,Canada,CAN,79.34,73.79806519
2020,Chine,CHN,75.245,54.72392273
2020,Chili,CHL,76.76,56.51040649
2020,Corée du Sud,KOR,80.5,59.32291031
2020,Côte d'Ivoire,CIV,58.242,36.75761032
2020,Espagne,ESP,79.5,73.17020416
2020,France,FRA,79.2,76.59496307
2020,Inde,IND,68.529,36.25336838
2020,Indonésie,IDN,66.644,55.17206192
2020,Iran,IRN,72.217,51.421772
2020,Japon,JPN,81.56,85.1534729
2020,Maroc,MAR,70.852,44.09963226
2020,Mexique,MEX,66.89,52.88224792
2020,Nigeria,NGA,52.707,14.96697235
2020,Pérou,PER,70.397,68.53755951
2020,Royaume-Uni,GBR,78.362,85.02536011
2020,Russie,RUS,66.49,73.57527161
2020,Sénégal,SEN,65.485,33.42175674
2020,Suède,SWE,80.6,86.17955017
2020,Suisse,CHE,81,35.90325165
2020,Togo,TGO,60.781,14.74263954
2020,Turquie,TUR,73.441,78.84537506
2020,États-Unis,USA,74.2,57.04175568
2021,Afrique du Sud,ZAF,59.193,63.46336746
2021,Allemagne,DEU,78.4,79.08522034
2021,Brésil,BRA,69.81,44.69210815
2021,Canada,CAN,79.19,72.96011353
2021,Chine,CHN,75.486,54.06824493
2021,Chili,CHL,76.348,53.66268158
2021,Corée du Sud,KOR,80.6,60.65415573
2021,Côte d'Ivoire,CIV,58.496,42.2668457
2021,Espagne,ESP,80.3,73.70912933
2021,France,FRA,79.3,75.81291199
2021,Inde,IND,65.87,40.39885712
2021,Indonésie,IDN,65.546,59.41187668
2021,Iran,IRN,71.951,55.23709869
2021,Japon,JPN,81.47,85.18865967
2021,Maroc,MAR,71.299,40.90240479
2021,Mexique,MEX,66.232,50.09624481
2021,Nigeria,NGA,53.163,13.27266693
2021,Pérou,PER,68.82,66.88330078
2021,Royaume-Uni,GBR,78.72,84.31277466
2021,Russie,RUS,65.51,69.56000519
2021,Sénégal,SEN,64.923,27.03209496
2021,Suède,SWE,81.3,86.07830811
2021,Suisse,CHE,81.8,35.84143829
2021,Togo,TGO,61.051,9.93372917
2021,Turquie,TUR,72.719,78.80183411
2021,États-Unis,USA,73.5,55.33708954
