Code_Pays;Pays;Années;IDH
USA;États-Unis;2006;0.911
USA;États-Unis;2007;0.914
USA;États-Unis;2008;0.914
USA;États-Unis;2009;0.915
USA;États-Unis;2010;0.919
USA;États-Unis;2011;0.92
USA;États-Unis;2012;0.923
USA;États-Unis;2013;0.925
USA;États-Unis;2014;0.926
USA;États-Unis;2015;0.928
USA;États-Unis;2016;0.929
USA;États-Unis;2017;0.931
USA;États-Unis;2018;0.934
USA;États-Unis;2019;0.936
USA;États-Unis;2020;0.925
USA;États-Unis;2021;0.921
