Pays,Années,HALE_femmes,HALE_hommes,HALE_WMGap
Espagne,2003,70.80510326,67.43110064,3.374002619999999
Espagne,2004,71.19155877,67.83483538,3.356723389999999
Espagne,2005,71.14467076,67.90319812,3.241472639999998
Espagne,2006,71.51087603,68.42812855,3.082747480000009
Espagne,2007,71.42855596,68.49466345,2.9338925099999926
Espagne,2008,71.49510675,68.82187517,2.6732315800000066
Espagne,2009,71.65692622,69.1588317,2.4980945200000093
Espagne,2010,71.87050194,69.4605063,2.409995639999991
Espagne,2011,71.86146306,69.63166663,2.2297964300000075
Espagne,2012,71.87993366,69.81188335,2.068050310000004
Espagne,2013,72.1166836,70.26170864,1.854974960000007
Espagne,2014,72.10824801,70.39057777,1.717670240000004
Espagne,2015,71.90203448,70.25673434,1.6453001400000034
Espagne,2016,72.17664353,70.52945348,1.647190050000006
Espagne,2017,72.08609922,70.55917318,1.5269260399999922
Espagne,2018,72.17505706,70.61259897,1.562458090000007
Espagne,2019,72.42053783,70.89741437,1.5231234599999937
Espagne,2020,71.343877,69.88416377,1.4597132300000055
Espagne,2021,71.83391923,70.33432762,1.4995916100000102
Suède,2000,69.98301409,68.46922759,1.5137864999999948
Suède,2001,70.01738304,68.60145992,1.4159231200000022
Suède,2002,70.04339308,68.77178661,1.2716064699999947
Suède,2003,70.26748985,68.93604633,1.3314435200000077
Suède,2004,70.43139127,69.27712935,1.1542619200000104
Suède,2005,70.50707109,69.33810204,1.1689690500000012
Suède,2006,70.59881415,69.53608156,1.062732589999996
Suède,2007,70.65334273,69.70259919,0.9507435400000048
Suède,2008,70.75537727,69.81755506,0.9378222099999931
Suède,2009,70.88446241,69.97413471,0.9103276999999963
Suède,2010,70.98835245,70.11871215,0.8696403000000004
Suède,2011,71.09904716,70.30542108,0.7936260799999957
Suède,2012,70.9603477,70.30893804,0.6514096599999988
Suède,2013,71.02318444,70.40712326,0.6160611799999884
Suède,2014,71.21421227,70.56690212,0.6473101500000098
Suède,2015,71.10654755,70.3869416,0.7196059500000018
Suède,2016,71.15725033,70.69098184,0.46626848999999027
Suède,2017,71.1221971,70.80455004,0.31764705999999876
