Années;Pays;Cancer_thyroïde;Cancer_Estomac;Cancer_Utérus;Cancer_Foie;Cancer_Sein;Cancer_Testicule;VIH/SIDA
2014;Canada;16.511292507080217;161.59205209860812;61.16777793099766;156.57579261603715;422.05156595408494;7.473879608002215;44.72508510538963
2015;Canada;16.379492714531754;161.4149562386678;66.13414193264337;165.08688410430372;425.6134986952539;7.58908898527732;42.26538008481777
2016;Canada;16.82134263907996;164.4293994507125;69.31503031710655;170.73927372294207;428.0391233128138;7.826816756794353;40.3094291774232
2017;Canada;16.61611274651564;162.6511515392273;70.86198409850714;175.3038050918711;425.5309205976771;7.850043201893921;38.69466910095901
2018;Canada;17.15792689919553;162.47920335133003;73.34684062254465;178.71925935226537;421.161190804532;8.011165054157932;37.31279247595105
2019;Canada;17.120288952189803;160.1315537736023;76.1482733785157;182.07853393317637;415.30472217515035;8.455498331562035;36.38920674837753
2020;Canada;17.065684806553097;161.7779231248493;79.09862702630998;186.6883655959701;415.1182320887065;8.824454057842813;37.10340348318708
2021;Canada;17.586736942572248;161.7814449361365;81.97438421494773;189.7329548970018;415.42593061043414;8.716503973908582;36.39773742792784
2000;Chili;15.127299473480148;540.3095752101433;21.829441178004807;38.43191579408347;218.2671565890791;40.5137277517496;179.89379915848625
2001;Chili;15.447985358886465;538.5020939145062;22.60687737816244;40.62993177429862;220.372628682024;39.705558750680105;180.0706839978695
2002;Chili;15.240966366687232;544.534341396908;21.764334160080196;42.4836455408183;221.19847321873;41.64900792286679;168.95791761991256
2003;Chili;15.206455515566525;534.4810386184391;20.914427359513592;45.08137725679595;222.89409883498828;40.95017708129973;158.160984738183
2004;Chili;15.06860961880723;526.4052803735951;21.410204177347133;45.20804561070987;226.2795255855857;39.61642887409924;151.2698395460323
2005;Chili;15.106479281021976;517.864008155903;21.425642054399333;47.17894867283546;231.51608687264468;37.01602639135163;146.38444440834206
2006;Chili;15.730847336509948;510.2999820461228;22.48890946241593;50.41378679153033;228.71486108344808;35.63136254986033;143.22938631654344
2007;Chili;16.106288771092153;503.6687783043353;23.725737748331156;52.38907719754841;230.60709577897896;35.64947065211456;142.0038770930508
2008;Chili;15.567953248884074;496.93871793983897;24.408180716680057;55.13470764830701;234.7023966762969;34.675701084665334;141.66157482142424
2009;Chili;16.353860832653346;522.4562792048223;26.290267297411468;56.89401640630612;249.19072810929725;40.024620450379985;144.25163455450587
2010;Chili;17.17718055494078;533.0100647307665;27.602648713508938;60.293855900749605;254.30863626485615;40.47430941171646;147.68351693668288
2011;Chili;16.909956210744394;525.2260015457456;27.435636633333417;68.2848732406798;253.27318217128544;37.45157953391213;149.7062232096321
2012;Chili;17.52030809676685;517.8487222018952;28.090411026336614;77.30053237256864;253.51810349730303;34.58222687863714;153.69168233885577
2013;Chili;18.372054971960164;507.0797778710607;28.977400051785953;77.2286693908087;252.41908495227173;35.21927368128981;157.76623558097916
2014;Chili;17.76375088575858;503.30139341275856;29.796509515813423;81.42910998076329;255.3539559849632;37.125222279781205;160.58782702059673
2015;Chili;18.00741380551063;498.3208855256613;30.167499160513508;87.18795805088581;257.90641924287524;37.414619592476306;162.5143068153393
2016;Chili;18.558092985865017;486.2309905119429;30.1626998955346;86.01777803162861;258.1200159134287;35.49210173094263;160.28631287767303
2017;Chili;19.107794429049054;482.8340351931559;30.51874737940931;90.05556828933958;258.83905380643705;36.87812053096393;154.6521877769631
2018;Chili;19.19278279081843;474.1527353729917;31.97357950964897;99.27481818439554;258.3960682920584;37.56622712619155;147.83962543917667
2019;Chili;20.844707237201305;465.21563154594287;36.14717353222952;107.27444019441404;265.07130519257043;37.460587997406755;142.74680690753422
2020;Chili;19.34516703054252;448.0335570218726;36.18906428103277;103.39739820151551;252.46075205555547;36.6618473879015;132.50695250806936
